EVENTS,,,,,,,Actual,FR,Actual,FR,Actual,FR,Actual,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731426,A,"Matsushita Electric Industrial Co., Ltd.","AT&T, COMDIAL CORP.","NYSE (T), NASDAQ (CMDL)",JAPAN,Small Business Telephones,12/30/1988,1/6/89,1/13/89,2/23/89,10/10/89,10/17/89,12/1/89,,7/3/1989,Jiji Press Ltd.,Also noted that NEC had already started production and Iwatsu has disclosed U.S. Production plan,Matsushita Communication Industrial Corp. of America,Peachtree,GA,1987,800,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731426,A,Tokyo Shibaura Corp. (TOSHIBA),"AT&T, COMDIAL CORP.","NYSE (T), NASDAQ (CMDL)",JAPAN,Small Business Telephones,12/30/1988,1/6/89,1/13/89,2/23/89,10/10/89,10/17/89,12/1/89,,7/24/89,Business Wire,Announcement that Toshiba will start to manufacture all the products in the U.S. that it sells in the U.S.,Toshiba America Information Systems Inc.,Irvine,CA,1987,300,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731429,A,Hitachi Zosen Corp.,"VERSON DIV. OF ALLIED PRODUCTS CORP, UAW, UNITED STEELWORKERS",NYSE (ADP),JAPAN,Mechanical Transfer Presses,1/12/1989,1/25/89,2/20/89,5/8/89,12/22/89,1/4/90,2/12/90,2/22/90,7/28/86 | 10/1/92,Jiji Press Ticker Service  ,"1) Announcement of acquisition of Clearing Inc from Hansen Trust PLC of Britain, 2) Announcement of leavign the U.S due to slumping car demand",Hitachi Zosen Clearing Inc.,"Warren, Houston","IL,MI,TX",1986,650,1990,JEI,ACQ (100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731458,A,Toray Industries Inc.,"DUPONT DE NEMOURS & CO., HOECHST CELANESE CORP., ICI AMERICAS INC.", ,JAPAN,Polyethylene Teraphthalate (PET) Film,4/27/1990,5/7/90,6/1/90,6/20/90,4/15/91,5/1/91,5/30/91,6/5/91,9/24/1991,Jiji Press Ticker Service  ,Announcement of new joint venture with Du Pont to make PET film,Teijin Du Pont Films,Circleville,OH,1992,300,1991,Lexis-Nexis: Jiji Press ticker Service 9/24/91,JV (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731490,N,MD Papier,"AMERICAN PAPER INSTITUTE TO SAFEGAURD THE U.S.COATED GROUNDWOOD PAPER INDUSTRY - BLANDIN PAPER CO. (GRAND RAPIDS, MN), BOISE CASCADE CORP. (RUMFORD,ME), BOWATER INC. (CATAWABA,SC), CHAMPION INTERNATIONAL CORP., CONSOLIDATED PAPERS INC. INTERNATIONAL PAPER CO., JAMES RIVER CORP. (ST. FRANCISVILLE,LA), NIAGARA PAPER CO. (NIAGARA,WI)","Can't Find, NYSE(BCC), NYSE (BOW), NYSE (CHA), NYSE (CDP), NYSE (IP), Can't Find, Can't Find",GERMANY,Coated Groundwood Paper,12/28/1990,1/4/91,2/11/91,2/21/91,10/28/91,11/4/91,12/12/91,12/18/91,5/3/89,Business Wire,Lexis-Nexis:Announcement of feasibility study of JV with Great Norther Nekoosa to make a coated paper mill,,Millinocket,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731522,N,Toyota Motor Corp.,"GENERAL MOTORS, FORD MOTOR CO., CHRYSLER MOTOR CORP",,JAPAN,Minivans,5/31/1991,6/10/1991,7/15/1991,7/31/1991,5/18/1992,5/26/1992,7/9/1992,7/15/1992,9/20/1996,The Detroit News,"Lexis-Nexis; Announcement that Toyota begins production of new minivan - Sienna at Georgetown, KY plant",Toyota Motor Manufacturing Kentucky (TMMK),Georgetown ,KY,1997,,,Lexis-Nexis,NP,"Second announcement 11/24/99 to build plant for production of Sienna minivans in Gibson County, IN beginning in 2002 - Lexis-Nexis, Indianapolis Star",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731556,A,Hyundai Electronics Co. Ltd. And Hyundai Electronics America,MICRON TECHNOLOGY (ID),NYSE (MU),KOREA,DRAMS,4/22/1992,4/29/1992,6/8/1992,6/17/1992,3/15/1993,3/23/1993,??,5/12/1993,5/22/1995,Business Wire,"Lexis-Nexis: Announcement of new plant in Eugene, OR to manufacture 16 and 64 megbit DRAMS",Hyundai Semiconductor America,Eugene,OR,1997,1300,2000,Register Guard,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731556,A,Samsung Electronics Co. Ltd. And Samsung Semiconductor Inc.,MICRON TECHNOLOGY (ID),NYSE (MU),KOREA,DRAMS,4/22/1992,4/29/1992,6/8/1992,6/17/1992,3/15/1993,3/23/1993,??,5/12/1993,1/8/1995,Japan Economic Newswire,Lexis-Nexis: Announcement of new plant in U.S. as early as 1996 to manufacture 16 and 64 megbit DRAMS,Samsung Electronics,Austin,TX,1997,over1000,1996,Lexis-Nexis announcement of plant from Houston Chronicle 3/26/96,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731556,A,Goldstar Electron Co. Ltd. And Goldstar Electron America ,MICRON TECHNOLOGY (ID),NYSE (MU),KOREA,DRAMS,4/22/1992,4/29/1992,6/8/1992,6/17/1992,3/15/1993,3/23/1993,??,5/12/1993,3/8/1995,Journal of Commerce,"Lexis-Nexis: Announcement that LG Semicon (Goldstar) exploring plans to produce in San Jose, but they so far have NOT ever located a plant in U.S. ",LG Semicon,San Jose ?,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731557,N,Nippon Steel,"STEELTON RAIL PROD. & PIPE DIV., BETHLEHEM STEEL CORP. (STEELTON,PA), CF & I STEEL CORP. (PUEBLO,CO)",NYSE (BS),JAPAN,Steel Rails,5/11/92??,5/8/1992,6/15/1992,6/23/1992,2/10/1993,2/19/1993,3/30/1993,4/7/1993,7/13/1994,PR Newswire,"Lexis-Nexis: Announcement of Nippon Steel taking a 10% equity stake in CF&I to ""deflect US antidumping charges""",New CF&I,Pueblo,CO,1994,,,,ACQ(10%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731571,A,Makita Corp.,BLACK & DECKER,NYSE(BDK),JAPAN,Professional Electric Sanding/Grinding Tools,5/29/1992,6/5/92,7/13/92,7/22/1992,5/19/1993,5/26/93,7/7/93,7/14/93,7/7/1992,Japan Economic Newswire,Expansion of plant in Georgia in response to AD case,Makita Corp. of America,Buford,GA,1985,257,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731575,A,IPSCO Inc.,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,CANADA,Cut-To-Length Carbon Steel Plate,6/30/1992,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,9/21/93 | 5/27/98 | 9/2/98,Business Wire | Business Wire | Canada Newswire,Announcement 1 is of intention to build steel plate minimill in U.S. Announcement 2 is of plans to build a second U.S. minimill to produce steel plate.  Announcement 2 is of a joint venture with another Candian company to produce cut hot-rolled coils,IPSCO Steel Inc. | IPSCO Steel (Alabama) Inc.  | Nova-Cal Steel,Montpelier | Mobile County | Philadelphia,IA | AL | PA,1996 | 2000 (?) | 2000 (?),,,,"NP | NP | JV (with NovAmerican Steel of Dorval, Quebec)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731587,A,British Steel Corp.,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,UK,Cut-To-Length Carbon Steel Plate,6/30/1992,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,10/13/1994,AFX News,Announcement of British Steel investment into tuscaloosa Steel Corp which makes steel plate,Tuscaloosa Steel Corporation,Tuscaloosa,AL,1994,400,1999,Webpage: http://www.hoogovens.nl/introflash.html,ACQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731590,N,Dofasco Inc.,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,CANADA,Hot-Rolled Carbon Steel Sheet ,6/30/1992,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,11/21/92 | 3/11/1993,Canada Newswire,"Announcement 1 is that Dofasco ""ponders"" minimill steel production in U.S. and evaluating sites.  Announcement 2 is of JV with Co-steel for a new minimill to make hot-rolled steel in one of the sites Dofasco was earlier ""pondering"".",Gallatin Steel Co.,Dover,KY,1995,345,1998,Lexis-Nexis: Canadian Press Newswire article - 4/24/98,JV (With Co-Steel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731594,N,Sumitomo Steel,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,JAPAN,Hot-Rolled Carbon Steel Sheet ,6/30/1992,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,12/19/1994,PR Newswire,"Announcement of JV between Sumitomo, British Steel and LTV Steel to build cold-rolled and hot-rolled steel plant ",Trico Steel Company,Decatur ,AL,1995,300,1999,Lexis-Nexis article from Crain's Cleveland Business,JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731606,N,Sumitomo Steel,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,JAPAN,Cold-Rolled Carbon Steel Sheet ,6/30/1992,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,12/19/1994,PR Newswire,"Announcement of JV between Sumitomo, British Steel and LTV Steel to build cold-rolled and hot-rolled steel plant ",Trico Steel Company,Decatur ,AL,1995,300,1999,Lexis-Nexis article from Crain's Cleveland Business,JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731611,N,British Steel Corp.,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,UK,Cold-Rolled Carbon Steel Sheet ,6/30/1992,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,12/19/1994,PR Newswire,"Announcement of JV between Sumitomo, British Steel and LTV Steel to build cold-rolled and hot-rolled steel plant ",Trico Steel Company,Decatur ,AL,1995,300,1999,Lexis-Nexis article from Crain's Cleveland Business,JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731612,A,Broken Hill Proprietary Ltd. ,"ARMCO STEEL CO. L.P., BETHLEHEM STEEL CORP., GENEVA STEEL, GULF STATES STEEL INC OF ALABAMA, INLAND STEEL INDUSTRIES INC, LACLEDE STEEL CO., LTV STEEL CO. INC., LUKENS STEEL CO., NATIONAL STEEL CORP., SHARON STEEL CORP., USX CORP., U.S. STEEL GROUP, WCI STEEL INC.",NYSE (AS); NYSE (BS);NYSE (GNV) - but then went private in late 1990s?;NL; NYSE (IAD); NMS(LCLD); NL; NYSE (LUC); NYSE (NS); sub. Of Mueller Industries - NYSE (MLI); NYSE (X) but big change in 1995 and then NYSE (MRO); NL,AUSTRALIA,Corrosion-resistant carbon steel sheet,6/30/1993,7/8/92,8/14/92,8/21/1992,6/21/1993,7/9/93,8/11/93,8/18/93,11/12/94 | 4/4/95 ,Financial Times (London),"Announcement 1 is of JV with North Star Steel to build and operate a new steel mini-mill.  Announcement 2 iof new capital expenditures for a cold-rolling, metallic coating plant in Pacific Northwest",North Star BHP Steel | BHP Coated Steel Corp.,Delta | Kalima,OH | WA,1996,,,,JV/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731622,N,Tokyo Ohka Kogyo,"DUPONT DE MENOURS (DE), MORTON INTERNATIONAL INC. (CA), HERCULES INC. (DE)", ,JAPAN,Dry Film Photoresist,7/16/1992,7/23/92,8/31/92,9/8/1992,3/8/1993,3/15/93,4/29/93,5/5/93,1/12/1996,Japan Economic Newswire,Announcement of new dry film photoresist plant in Oregon,Ohka America,,OR,1997,20,1997,Lexis-Nexis: Japan Chemical Week article  6/5/97,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731647,T,Ivaco Inc.,"CONNECTICUT STEEL CORP. (WALLINGFORD,CT), GEORGETOWN STEEL CORP, (GEORGETOWN,SC), NORTH STAR STEEL TEXAS INC. (BEAUMONT,TX), RARITAN RIVER STEEL CO. (PERTH AMBOY,NJ), KEYSTONE STEEL & WIRE CORP. (PEORIA,IL)", ,CANADA,Carbon Steel Wire Rod,4/23/1993,4/30/93,6/7/93,6/16/1993,???,TERM: 5/4/94,,,1/21/1997,Business Wire,"Announcement of $13 million expansion of wire plants - particularly in Newnan, GA", ,Newnan,GA,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731661,S,Fuji Photo Film,EASTMAN KODAK,NYSE(EK),JAPAN/NETHERLANDS,Photo Paper and Chemicals,8/31/1993,9/9/93,10/15/93,10/27/93,8/19/94,SUSP: 8/24/94,,,2/4/1994,PR Newswire,Announcement of new plant in South Carolina,Fuli Photo Film ,Greenwood ,SC,1995,100,1997,S.C. Industrial Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
